,date,conds,fog,hail,rain,snow,tempi,visi
0,2015-01-29,Overcast,0,0,0,0,33.1,10.0
0,2015-03-20,Clear,0,0,0,0,36.0,8.0
0,2015-09-20,Clear,0,0,0,0,55.9,10.0
0,2015-06-01,Clear,0,0,0,0,57.0,10.0
0,2015-01-31,Clear,0,0,0,0,19.9,4.0
0,2015-10-10,Clear,0,0,0,0,52.0,10.0
0,2015-07-29,Clear,0,0,0,0,73.0,10.0
0,2015-01-10,Clear,0,0,0,0,-0.0,10.0
0,2015-04-04,Clear,0,0,0,0,39.9,10.0
0,2015-06-27,Clear,0,0,0,0,59.0,6.0
0,2015-10-01,Clear,0,0,0,0,50.0,10.0
0,2015-07-25,Clear,0,0,0,0,75.9,10.0
0,2015-06-13,Overcast,0,0,0,0,66.0,10.0
0,2015-05-27,Partly Cloudy,0,0,0,0,54.0,4.0
0,2015-06-10,Clear,0,0,0,0,70.0,8.0
0,2015-02-03,Overcast,0,0,0,0,12.0,10.0
0,2015-01-12,Clear,0,0,0,0,-2.0,10.0
0,2015-01-14,Overcast,0,0,0,0,18.0,9.0
0,2015-06-03,Overcast,0,0,0,0,66.0,10.0
0,2015-03-21,Clear,0,0,0,0,27.0,10.0
0,2015-09-15,Clear,0,0,0,0,69.1,10.0
0,2015-08-20,Clear,0,0,0,0,54.0,10.0
0,2015-09-04,Mostly Cloudy,0,0,0,0,73.0,10.0
0,2015-10-21,Partly Cloudy,0,0,0,0,55.0,10.0
0,2015-04-24,Overcast,0,0,0,0,48.0,10.0
0,2015-02-19,Clear,0,0,0,0,-6.0,10.0
0,2015-12-27,Clear,0,0,0,0,19.0,10.0
0,2015-10-08,Overcast,0,0,0,0,55.9,7.0
0,2015-11-07,Clear,0,0,0,0,39.0,10.0
0,2015-11-23,Clear,0,0,0,0,36.0,10.0
0,2015-01-06,Clear,0,0,0,0,-0.9,10.0
0,2015-06-11,Light Rain,0,0,1,0,62.1,7.0
0,2015-09-21,Clear,0,0,0,0,63.0,10.0
0,2015-02-06,Haze,0,0,0,0,19.0,5.0
0,2015-04-12,Mostly Cloudy,0,0,0,0,57.9,10.0
0,2015-04-26,Clear,0,0,0,0,42.1,10.0
0,2015-07-19,Clear,0,0,0,0,71.1,10.0
0,2015-07-16,Partly Cloudy,0,0,0,0,71.1,9.0
0,2015-08-04,Clear,0,0,0,0,70.0,10.0
0,2015-09-16,Clear,0,0,0,0,66.9,10.0
0,2015-10-27,Clear,0,0,0,0,51.1,10.0
0,2015-05-30,Clear,0,0,0,0,48.9,10.0
0,2015-03-09,Overcast,0,0,0,0,37.9,10.0
0,2015-02-12,Clear,0,0,0,0,7.0,10.0
0,2015-11-22,Clear,0,0,0,0,21.9,10.0
0,2015-08-05,Clear,0,0,0,0,60.1,10.0
0,2015-07-02,Clear,0,0,0,0,66.0,10.0
0,2015-09-25,Overcast,0,0,0,0,63.0,5.0
0,2015-04-09,Light Rain,0,0,1,0,39.9,5.0
0,2015-05-04,Clear,0,0,0,0,59.0,10.0
0,2015-11-14,Clear,0,0,0,0,41.0,10.0
0,2015-07-23,Clear,0,0,0,0,75.0,10.0
0,2015-03-19,Overcast,0,0,0,0,39.9,10.0
0,2015-04-28,Clear,0,0,0,0,53.1,10.0
0,2015-02-22,Clear,0,0,0,0,-9.0,10.0
0,2015-05-19,Overcast,0,0,0,0,39.0,10.0
0,2015-03-26,Overcast,0,0,0,0,28.9,10.0
0,2015-03-11,Clear,0,0,0,0,34.0,10.0
0,2015-09-23,Scattered Clouds,0,0,0,0,68.0,9.0
0,2015-08-22,Clear,0,0,0,0,72.0,10.0
0,2015-03-30,Overcast,0,0,0,0,41.0,10.0
0,2015-12-18,Overcast,0,0,0,0,17.1,10.0
0,2015-11-11,Scattered Clouds,0,0,0,0,48.0,7.0
0,2015-08-26,Clear,0,0,0,0,61.0,10.0
0,2015-06-15,Scattered Clouds,0,0,0,0,70.0,10.0
0,2015-10-22,Clear,0,0,0,0,41.0,10.0
0,2015-11-26,Overcast,0,0,0,0,37.9,10.0
0,2015-05-14,Overcast,0,0,0,0,52.0,10.0
0,2015-01-13,Clear,0,0,0,0,-9.9,10.0
0,2015-11-15,Clear,0,0,0,0,48.0,10.0
0,2015-02-07,Haze,0,0,0,0,24.1,5.0
0,2015-11-28,Clear,0,0,0,0,19.0,10.0
0,2015-05-06,Overcast,0,0,0,0,57.0,1.2
0,2015-02-28,Clear,0,0,0,0,8.1,10.0
0,2015-09-12,Clear,0,0,0,0,48.0,10.0
0,2015-03-04,Scattered Clouds,0,0,0,0,1.9,10.0
0,2015-03-07,Clear,0,0,0,0,37.0,10.0
0,2015-04-22,Clear,0,0,0,0,36.0,10.0
0,2015-09-11,Clear,0,0,0,0,54.0,10.0
0,2015-06-18,Clear,0,0,0,0,68.0,10.0
0,2015-08-29,Clear,0,0,0,0,55.0,4.0
0,2015-12-06,Overcast,0,0,0,0,39.9,8.0
0,2015-03-13,Clear,0,0,0,0,45.0,10.0
0,2015-05-08,Overcast,0,0,0,0,50.0,10.0
0,2015-12-25,Haze,0,0,0,0,30.0,6.0
0,2015-01-20,Overcast,0,0,0,0,30.9,2.5
0,2015-07-13,Clear,0,0,0,0,66.9,9.0
0,2015-09-02,Thunderstorms and Rain,0,0,1,0,73.0,4.0
0,2015-09-28,Mostly Cloudy,0,0,0,0,70.0,10.0
0,2015-03-24,Clear,0,0,0,0,28.0,10.0
0,2015-11-19,Overcast,0,0,0,0,32.0,10.0
0,2015-10-18,Mostly Cloudy,0,0,0,0,42.1,10.0
0,2015-06-19,Clear,0,0,0,0,69.1,10.0
0,2015-12-09,Clear,0,0,0,0,28.0,5.0
0,2015-08-16,Clear,0,0,0,0,77.0,10.0
0,2015-10-02,Clear,0,0,0,0,45.0,10.0
0,2015-01-16,Overcast,0,0,0,0,27.0,10.0
0,2015-06-02,Clear,0,0,0,0,64.9,10.0
0,2015-08-18,Overcast,0,0,0,0,64.0,10.0
0,2015-04-30,Clear,0,0,0,0,52.0,10.0
0,2015-07-27,Clear,0,0,0,0,78.1,10.0
0,2015-08-11,Clear,0,0,0,0,70.0,10.0
0,2015-04-17,Clear,0,0,0,0,57.0,10.0
0,2015-07-01,Scattered Clouds,0,0,0,0,62.1,10.0
0,2015-11-29,Overcast,0,0,0,0,28.0,10.0
0,2015-12-04,Clear,0,0,0,0,28.9,8.0
0,2015-01-30,Overcast,0,0,0,0,12.9,10.0
0,2015-06-06,Overcast,0,0,0,0,64.0,10.0
0,2015-08-15,Clear,0,0,0,0,79.0,10.0
0,2015-10-06,Overcast,0,0,0,0,57.9,10.0
0,2015-06-20,Rain,0,0,1,0,64.9,5.0
0,2015-12-30,Overcast,0,0,0,0,21.9,6.0
0,2015-10-24,Light Rain,0,0,1,0,54.0,3.0
0,2015-07-12,Scattered Clouds,0,0,0,0,73.9,10.0
0,2015-12-01,Light Snow,0,0,0,1,34.0,3.0
0,2015-05-03,Partly Cloudy,0,0,0,0,62.1,10.0
0,2015-11-17,Rain,0,0,1,0,51.1,1.8
0,2015-02-18,Clear,0,0,0,0,-7.1,10.0
0,2015-05-01,Mostly Cloudy,0,0,0,0,55.9,10.0
0,2015-03-29,Overcast,0,0,0,0,37.9,10.0
0,2015-10-30,Overcast,0,0,0,0,42.1,9.0
0,2015-02-14,Clear,0,0,0,0,-2.9,10.0
0,2015-06-22,Light Thunderstorms and Rain,0,0,1,0,72.0,8.0
0,2015-06-07,Light Rain,0,0,1,0,68.0,7.0
0,2015-10-25,Mostly Cloudy,0,0,0,0,43.0,10.0
0,2015-09-05,Mostly Cloudy,0,0,0,0,77.0,8.0
0,2015-04-11,Clear,0,0,0,0,46.9,10.0
0,2015-10-23,Rain,0,0,1,0,50.0,2.5
0,2015-07-31,Clear,0,0,0,0,73.0,10.0
0,2015-04-07,Overcast,0,0,0,0,37.0,3.0
0,2015-05-31,Clear,0,0,0,0,51.1,10.0
0,2015-11-09,Clear,0,0,0,0,50.0,10.0
0,2015-04-05,Clear,0,0,0,0,36.0,10.0
0,2015-08-12,Clear,0,0,0,0,73.9,10.0
0,2015-04-23,Clear,0,0,0,0,39.0,10.0
0,2015-01-09,Haze,0,0,0,0,-0.9,6.0
0,2015-09-09,Scattered Clouds,0,0,0,0,63.0,10.0
0,2015-05-20,Clear,0,0,0,0,54.0,10.0
0,2015-03-18,Clear,0,0,0,0,33.1,10.0
0,2015-06-25,Clear,0,0,0,0,73.9,10.0
0,2015-01-01,Overcast,0,0,0,0,21.9,10.0
0,2015-09-08,Mostly Cloudy,0,0,0,0,66.0,10.0
0,2015-07-20,Scattered Clouds,0,0,0,0,73.0,10.0
0,2015-07-24,Overcast,0,0,0,0,70.0,10.0
0,2015-07-07,Clear,0,0,0,0,61.0,10.0
0,2015-04-13,Clear,0,0,0,0,50.0,10.0
0,2015-12-03,Clear,0,0,0,0,21.9,4.0
0,2015-08-31,Mostly Cloudy,0,0,0,0,66.9,4.0
0,2015-10-11,Clear,0,0,0,0,62.1,10.0
0,2015-12-08,Clear,0,0,0,0,33.1,10.0
0,2015-04-03,Overcast,0,0,0,0,28.0,10.0
0,2015-07-10,Clear,0,0,0,0,73.9,9.0
0,2015-11-18,Light Rain,0,0,1,0,55.9,5.0
0,2015-04-21,Overcast,0,0,0,0,37.0,10.0
0,2015-10-09,Overcast,0,0,0,0,50.0,10.0
0,2015-01-04,Mostly Cloudy,0,0,0,0,-2.9,10.0
0,2015-03-15,Clear,0,0,0,0,53.1,10.0
0,2015-02-24,Light Snow,0,0,0,1,30.9,4.0
0,2015-05-16,Partly Cloudy,0,0,0,0,59.0,10.0
0,2015-07-09,Clear,0,0,0,0,70.0,10.0
0,2015-11-16,Overcast,0,0,0,0,54.0,10.0
0,2015-01-28,Overcast,0,0,0,0,30.0,5.0
0,2015-05-09,Clear,0,0,0,0,48.9,10.0
0,2015-12-20,Clear,0,0,0,0,30.9,10.0
0,2015-07-11,Mostly Cloudy,0,0,0,0,73.9,10.0
0,2015-03-28,Clear,0,0,0,0,28.0,10.0
0,2015-02-09,Clear,0,0,0,0,21.9,10.0
0,2015-11-08,Clear,0,0,0,0,48.0,10.0
0,2015-12-05,Clear,0,0,0,0,41.0,10.0
0,2015-01-27,Overcast,0,0,0,0,33.1,10.0
0,2015-03-01,Overcast,0,0,0,0,16.0,8.0
0,2015-06-05,Scattered Clouds,0,0,0,0,60.8,10.0
0,2015-02-25,Light Snow,0,0,0,1,8.6,1.8
0,2015-04-29,Clear,0,0,0,0,52.0,10.0
0,2015-01-17,Scattered Clouds,0,0,0,0,28.0,4.0
0,2015-01-11,Overcast,0,0,0,0,9.0,10.0
0,2015-02-11,Overcast,0,0,0,0,28.0,10.0
0,2015-07-05,Clear,0,0,0,0,75.9,10.0
0,2015-08-14,Clear,0,0,0,0,78.1,10.0
0,2015-03-23,Light Snow,0,0,0,1,30.0,3.0
0,2015-02-10,Light Snow,0,0,0,1,25.0,1.8
0,2015-09-13,Clear,0,0,0,0,59.0,10.0
0,2015-12-24,Overcast,0,0,0,0,25.0,10.0
0,2015-12-07,Overcast,0,0,0,0,32.0,6.0
0,2015-12-17,Overcast,0,0,0,0,28.9,10.0
0,2015-12-21,Overcast,0,0,0,0,30.9,5.0
0,2015-06-17,Overcast,0,0,0,0,75.0,10.0
0,2015-12-23,Overcast,0,0,0,0,36.0,4.0
0,2015-12-02,Overcast,0,0,0,0,30.0,7.0
0,2015-09-24,Light Rain,0,0,1,0,66.0,3.0
0,2015-08-23,Overcast,0,0,0,0,61.0,10.0
0,2015-09-06,Thunderstorms and Rain,0,0,1,0,77.0,3.0
0,2015-04-19,Overcast,0,0,0,0,51.1,10.0
0,2015-10-31,Light Rain,0,0,1,0,46.9,6.0
0,2015-03-14,Clear,0,0,0,0,39.9,10.0
0,2015-03-03,Light Snow,0,0,0,1,23.0,1.0
0,2015-07-18,Light Rain,0,0,1,0,70.0,10.0
0,2015-12-14,Light Rain,0,0,1,0,36.0,7.0
0,2015-06-26,Clear,0,0,0,0,71.1,10.0
0,2015-06-23,Clear,0,0,0,0,71.1,10.0
0,2015-12-31,Partly Cloudy,0,0,0,0,10.0,9.0
0,2015-04-27,Clear,0,0,0,0,52.0,10.0
0,2015-02-15,Overcast,0,0,0,0,1.9,10.0
0,2015-04-10,Mostly Cloudy,0,0,0,0,30.0,2.0
0,2015-08-01,Clear,0,0,0,0,75.0,10.0
0,2015-09-17,Light Thunderstorms and Rain,0,0,1,0,73.9,1.5
0,2015-09-18,Scattered Clouds,0,0,0,0,55.9,10.0
0,2015-11-01,Mostly Cloudy,0,0,0,0,43.0,10.0
0,2015-10-13,Overcast,0,0,0,0,45.0,10.0
0,2015-07-06,Rain,0,0,1,0,72.0,4.0
0,2015-03-27,Clear,0,0,0,0,23.0,10.0
0,2015-07-04,Haze,0,0,0,0,69.1,5.0
0,2015-08-09,Overcast,0,0,0,0,73.9,10.0
0,2015-12-29,Light Snow,0,0,0,1,25.0,2.0
0,2015-10-12,Overcast,0,0,0,0,60.1,10.0
0,2015-07-08,Mostly Cloudy,0,0,0,0,66.0,10.0
0,2015-01-23,Overcast,0,0,0,0,32.0,10.0
0,2015-12-15,Overcast,0,0,0,0,30.9,7.0
0,2015-12-22,Overcast,0,0,0,0,30.9,7.0
0,2015-05-29,Overcast,0,0,0,0,66.9,10.0
0,2015-01-07,Clear,0,0,0,0,-7.1,10.0
0,2015-11-12,Overcast,0,0,0,0,41.0,10.0
0,2015-06-09,Clear,0,0,0,0,75.0,9.0
0,2015-11-21,Overcast,0,0,0,0,18.0,10.0
0,2015-02-26,Clear,0,0,0,0,-0.9,10.0
0,2015-05-05,Clear,0,0,0,0,59.0,10.0
0,2015-07-15,Overcast,0,0,0,0,69.1,10.0
0,2015-12-13,Light Rain,0,0,1,0,39.0,2.5
0,2015-06-08,Clear,0,0,0,0,69.1,10.0
0,2015-06-30,Clear,0,0,0,0,64.0,6.0
0,2015-12-26,Light Snow,0,0,0,1,28.9,1.2
0,2015-12-12,Overcast,0,0,0,0,37.0,10.0
0,2015-08-21,Clear,0,0,0,0,68.0,10.0
0,2015-05-02,Clear,0,0,0,0,61.0,10.0
0,2015-11-02,Clear,0,0,0,0,54.0,10.0
0,2015-03-17,Clear,0,0,0,0,30.9,10.0
0,2015-11-10,Clear,0,0,0,0,46.0,10.0
0,2015-11-20,Overcast,0,0,0,0,28.9,10.0
0,2015-09-03,Overcast,0,0,0,0,70.0,7.0
0,2015-01-05,Clear,0,0,0,0,-9.0,10.0
0,2015-04-14,Clear,0,0,0,0,57.9,10.0
0,2015-04-02,Clear,0,0,0,0,50.0,10.0
0,2015-12-11,Overcast,0,0,0,0,37.0,10.0
0,2015-10-16,Clear,0,0,0,0,37.0,10.0
0,2015-07-30,Clear,0,0,0,0,71.1,10.0
0,2015-01-15,Clear,0,0,0,0,23.0,10.0
0,2015-05-18,Overcast,0,0,0,0,41.0,9.0
0,2015-05-22,Clear,0,0,0,0,60.1,10.0
0,2015-11-13,Clear,0,0,0,0,36.0,10.0
0,2015-08-19,Overcast,0,0,0,0,61.0,8.0
0,2015-07-03,Clear,0,0,0,0,55.9,5.0
0,2015-11-30,Light Snow,0,0,0,1,30.0,0.8
0,2015-06-04,Overcast,0,0,0,0,62.6,4.0
0,2015-02-27,Clear,0,0,0,0,1.9,10.0
0,2015-10-03,Clear,0,0,0,0,53.1,10.0
0,2015-08-07,Light Rain,0,0,1,0,71.1,10.0
0,2015-10-14,Clear,0,0,0,0,50.0,10.0
0,2015-07-14,Clear,0,0,0,0,75.9,10.0
0,2015-04-16,Overcast,0,0,0,0,55.9,10.0
0,2015-08-27,Overcast,0,0,0,0,66.0,10.0
0,2015-09-30,Clear,0,0,0,0,48.9,10.0
0,2015-06-21,Clear,0,0,0,0,73.0,10.0
0,2015-03-12,Clear,0,0,0,0,43.0,10.0
0,2015-07-22,Clear,0,0,0,0,73.0,10.0
0,2015-02-05,Clear,0,0,0,0,1.9,10.0
0,2015-07-28,Heavy Rain,0,0,1,0,73.9,0.8
0,2015-04-15,Clear,0,0,0,0,57.9,10.0
0,2015-05-28,Clear,0,0,0,0,73.0,10.0
0,2015-05-11,Overcast,0,0,0,0,53.1,10.0
0,2015-08-17,Partly Cloudy,0,0,0,0,66.0,10.0
0,2015-05-26,Clear,0,0,0,0,54.0,2.5
0,2015-01-19,Light Snow,0,0,0,1,30.9,6.0
0,2015-02-02,Clear,0,0,0,0,5.0,10.0
0,2015-10-26,Overcast,0,0,0,0,48.9,10.0
0,2015-03-05,Clear,0,0,0,0,-0.0,10.0
0,2015-02-04,Mostly Cloudy,0,0,0,0,8.1,6.0
0,2015-03-10,Clear,0,0,0,0,41.0,10.0
0,2015-11-25,Overcast,0,0,0,0,44.1,10.0
0,2015-10-05,Mostly Cloudy,0,0,0,0,50.0,10.0
0,2015-03-25,Overcast,0,0,0,0,33.1,2.5
0,2015-04-25,Overcast,0,0,0,0,44.1,10.0
0,2015-05-25,Overcast,0,0,0,0,57.0,5.0
0,2015-02-16,Light Snow,0,0,0,1,12.0,6.0
0,2015-10-19,Clear,0,0,0,0,59.0,10.0
0,2015-07-26,Mostly Cloudy,0,0,0,0,77.0,10.0
0,2015-08-02,Clear,0,0,0,0,75.0,10.0
0,2015-05-10,Overcast,0,0,0,0,51.1,10.0
0,2015-02-17,Clear,0,0,0,0,1.0,10.0
0,2015-05-13,Scattered Clouds,0,0,0,0,48.0,10.0
0,2015-01-25,Overcast,0,0,0,0,26.1,10.0
0,2015-12-19,Clear,0,0,0,0,12.0,10.0
0,2015-09-26,Clear,0,0,0,0,55.9,1.5
0,2015-02-23,Clear,0,0,0,0,-4.0,10.0
0,2015-01-08,Light Snow,0,0,0,1,8.1,2.5
0,2015-12-10,Partly Cloudy,0,0,0,0,44.1,10.0
0,2015-09-19,Clear,0,0,0,0,54.0,10.0
0,2015-10-07,Clear,0,0,0,0,39.0,1.8
0,2015-06-29,Clear,0,0,0,0,63.0,7.0
0,2015-10-20,Clear,0,0,0,0,53.1,10.0
0,2015-10-04,Clear,0,0,0,0,46.9,10.0
0,2015-01-21,Light Snow,0,0,0,1,28.0,3.0
0,2015-05-12,Light Rain,0,0,1,0,41.0,3.0
