|coffee_shop_name|review_text|rating|num_rating|cat_rating|bool_HIGH|overall_sent|vibe_sent|tea_sent|service_sent|seating_sent|price_sent|parking_sent|location_sent|alcohol_sent|coffee_sent|food_sent|hours_sent|internet_sent|local_sent
2831|Dolce Neve |"3/27/2016 If you like a creamy consistency with your ice cream, I'd say Dolce Neve is your best bet. My boyfriend and I shared a medium cup which allows for 3 scoops. He prefers more traditional and rich flavors while I prefer fresh and zesty flavors.  We compromised by getting Dolce Neve, Vanilla bean, and local hazelnut. Dolce Neve had a subtle hint of lemon which I absolutely loved. Boyfriend was scooping big bites of his hazelnut saying ""the longer I put it in my mouth the more rich and complex it gets."" We both got what we wanted and enjoyed our time. Would go back!"|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|0|0|0.0|0|0
3051|Halcyon |3/3/2015 1 check-in Listed in Pretending to Hook 'Em The way I would describe this place is a Michael Buble song laced with a couple shots of whiskey. All in all, I had a hard time deciding between 4 and 5 stars. Let's be conservative and stick with 4 for now.  AMBIENCE Ohmygosh so romantic!! Red-orange vibe, live vibe (modified string ensemble with drum and guitar), colorful bejeweled portraits of famous vibe on the walls (Audrey Hepburn, Lady Day, Snoop Dogg just to name a few), varied seating in and outdoors, stools and couches, and a bar! Very vibe and intimate.  FOOD & DRANK Did I say intimate? How about s'mores for 2? At your seating? Honestly this is probably just a thing for first-timers to order but it is still a really adorable and creative concept. My coffee came in a giant vibe mug. My friend's coffee came in a yellow one! The color was adorable! Milk foam on mine could have been stiffer but the overall taste of the drink was strong and smooth.  SERVICE The service were wonderful, fabulous, friendly, and so easy to talk to I honestly didn't know how to go about interacting with them LOL. They addressed me by name and all that jazz.  Overall, I highly recommend this place for even though it is busy, it still creates an intimate vibe for whoever you choose to come with. hours late into the night, conducive to deep talks and cute dates. A cafe, with a bit of spice from the bar. S'mores for three! With an coffee and peppermint coffee in the background|4.0 star rating|4|HIGH|1|4|4|0|0|0|0|0|0|0|1|0|0.0|0|0
3106|The Factory - Cafe With a Soul |11/25/2016 1 check-in Love love loved the vibe! Every corner of the coffee shop had its own style, and there were swings!!! I ordered the matcha coffee, and it was muy fantastico! Ordering and getting my drink were pretty streamlined. I ordered on an iPad, which included all beverage selections that ranged from coffee to alcohol, desired level of sweetness, and a checkout system. I got my coffee within minutes!  I was hoping for a typical heart or feather on my coffee, but found myself listing out all the possibilities of what the vibe may be. Any ideas?|5.0 star rating|5|HIGH|1|4|4|0|0|0|0|0|0|0|0|0|0.0|0|0
3390|Arturo's Underground Cafe |9/24/2016 Great food. Haven't had creative food before and absolutely loved it very well done. Short wait on a Saturday morning around 11:15. I had the Marcos Benedict and highly recommend it.|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|0|4|0.0|0|0
3425|Arturo's Underground Cafe |4/17/2016 Absolutely loved this place! We got here just as they were hoursing on a Saturday morning. We were third in line so no wait! It's an interesting little place and the vibe gives it character. I got the Texas foods in a basket and it was SO good! I'm not even a fan of jalapeМ±os but that jalapeМ±o food was amazing! My +1 tried the Diablo benedict at the recommendation of the waiter. He really liked it, but to me it wasn't impressive after already trying my dish. We both left really impressed with the place. I'll probably make this a mandatory stop for any time I'm visiting Austin again. The Texas foods in a basket...best thing ever!|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|0|2|0.0|0|0
3787|Lucky Lab Coffee |7/31/2015 I absolutely loved Lucky Lab Coffee Co. My first and only vibe has been a day when I was out at a venue for an hours house. It was a rainy day so there weren't many vibe and I got to talk to the two lovely ladies working the truck. They were very nice and their coffee is awesome.  Do yourself a favor and try the coffee Lavender coffee, (I think that is what it is called) it was absolutely amazing. I tried a few other items off the menu, but the coffee Lavender was my favorite.|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|1|0|0.0|0|0
4137|Halcyon |3/3/2015 1 check-in Listed in Pretending to Hook 'Em The way I would describe this place is a Michael Buble song laced with a couple shots of whiskey. All in all, I had a hard time deciding between 4 and 5 stars. Let's be conservative and stick with 4 for now.  AMBIENCE Ohmygosh so romantic!! Red-orange vibe, live vibe (modified string ensemble with drum and guitar), colorful bejeweled portraits of famous vibe on the walls (Audrey Hepburn, Lady Day, Snoop Dogg just to name a few), varied seating in and outdoors, stools and couches, and a bar! Very vibe and intimate.  FOOD & DRANK Did I say intimate? How about s'mores for 2? At your seating? Honestly this is probably just a thing for first-timers to order but it is still a really adorable and creative concept. My coffee came in a giant vibe mug. My friend's coffee came in a yellow one! The color was adorable! Milk foam on mine could have been stiffer but the overall taste of the drink was strong and smooth.  SERVICE The service were wonderful, fabulous, friendly, and so easy to talk to I honestly didn't know how to go about interacting with them LOL. They addressed me by name and all that jazz.  Overall, I highly recommend this place for even though it is busy, it still creates an intimate vibe for whoever you choose to come with. hours late into the night, conducive to deep talks and cute dates. A cafe, with a bit of spice from the bar. S'mores for three! With an coffee and peppermint coffee in the background|4.0 star rating|4|HIGH|1|4|4|0|0|0|0|0|0|0|1|0|0.0|0|0
4419|Tea Haus |12/2/2016 Love this place, mint mojito iced coffee for $5.15, incredibly delicious and highly recommended. Come here.|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|4|0|0.0|0|0
4515|Friends & Neighbors |5/17/2015 Amazing amazing!! Inspiring! What's with Austin and their amazing cafes?? Vancouver needs to get on this approachable, homey cafe vibe. This place is incredible. Not a commercial space but an old house converted to feature a home tastefully vibeated and filled with local, vibeisan, and a selection of vintage goods, vibe zines and local photography on the walls.. pretty much my favourite kind of space. The bar is, fittingly, in the kitchen, our service was hilarious, and we came by on the perfect day to sit outside at one of the shaded picnic seatings and take our time enjoying the vibe. Try the cokespresso. Follow their instagram & go to their events so I can live vicariously through you. Love seating with such a focus on community. Woo!|5.0 star rating|5|HIGH|1|4||0|2|2|0|0|0|0|0|0|0.0|0|0
4530|Sorrento's Coffee |5/24/2016 1 check-in Stopped in here the other day while the family was out and about. Oh dear. In a few words....  Delicious, friendly, handmade, LOCAL. We all ended up loving this place.  They serve Ruta Maya coffee (which is my favorite), so I was especially happy about that. They make banana food (omg it is SO incredibly delicious). Zucchini food, foods (the chocolate chip is amazing), food food/croissants, they also serve food deli foods.   Everyone was extremely friendly and the food they bake is mouthwatering.  We ordered 2 coffee, 1 hot chocolate, 2 chocolate chip foods, 1 Banana food.  The food is incredible.  We wanted a loaf, but by the time we went back, they were hours.  That's ok.  We will be back.  Great location for us, too.  Not too far out of the way.  price are extremely modest for so many local, local, and handmade items.  Love this little joint!|5.0 star rating|5|HIGH|1|4||0|0|0|0|0|0|0|1|4|0.0|0|0
4576|Sorrento's Coffee |11/23/2014 1 check-in I was in the area and had a choice between Starbucks or the cute little coffee drive thru. Decided to try this spot and was the best choice!! I ordered a chai tea coffee. The girl at the drive thru made it perfect and customer service was excellent!!!|4.0 star rating|4|HIGH|1|4||0|0|0|0|0|0|0|1|0|0.0|0|0
4771|Venezia Italian Gelato |6/19/2016 After sampling several food places across the country, Venezia is by far #1 on my list.  The favors and variety are exceptional...to say they are incredibly delicious is such an understatement!!  The authenticity of true Italians cannot be matched, each time I've been in, and it's been several...the services have always been so nice and treating everyone as if they are long lost friends.    The vibe is kept clean and simple with a black and white theme.  If you haven't been... You must go; and go now!!  Enjoy!! I'll see you there!!|5.0 star rating|5|HIGH|1|4||0|0|0|0|0|0|0|0|0|0.0|0|0
5086|Halcyon |3/3/2015 1 check-in Listed in Pretending to Hook 'Em The way I would describe this place is a Michael Buble song laced with a couple shots of whiskey. All in all, I had a hard time deciding between 4 and 5 stars. Let's be conservative and stick with 4 for now.  AMBIENCE Ohmygosh so romantic!! Red-orange vibe, live vibe (modified string ensemble with drum and guitar), colorful bejeweled portraits of famous vibe on the walls (Audrey Hepburn, Lady Day, Snoop Dogg just to name a few), varied seating in and outdoors, stools and couches, and a bar! Very vibe and intimate.  FOOD & DRANK Did I say intimate? How about s'mores for 2? At your seating? Honestly this is probably just a thing for first-timers to order but it is still a really adorable and creative concept. My coffee came in a giant vibe mug. My friend's coffee came in a yellow one! The color was adorable! Milk foam on mine could have been stiffer but the overall taste of the drink was strong and smooth.  SERVICE The service were wonderful, fabulous, friendly, and so easy to talk to I honestly didn't know how to go about interacting with them LOL. They addressed me by name and all that jazz.  Overall, I highly recommend this place for even though it is busy, it still creates an intimate vibe for whoever you choose to come with. hours late into the night, conducive to deep talks and cute dates. A cafe, with a bit of spice from the bar. S'mores for three! With an coffee and peppermint coffee in the background|4.0 star rating|4|HIGH|1|4||0|0|0|0|0|0|0|1|0|0.0|0|0
5612|Dominican Joe |"2/3/2014 1 check-in Two Words: Flan coffee.  Oh. My. coffee.  There's Starbucks coffee shop good, and then there's ""F-R-I-E-N-D-S."" coffee shop good, and Dominican coffee definitely qualifies for the coffeer. The vibe of this place was a mix of professional, educational, eclectic, creative, and focused. I especially loved the vibe that was being played.  I honestly cannot wait until I have an excuse to visit this spot again. Flan coffee is what's up!"|5.0 star rating|5|HIGH|1|4||0|0|0|0|0|0|0|1|0|0.0|0|0
5998|La Tazza Fresca |11/12/2013 1 check-in This cafe is a regular spot for the Austin Argentine Tango scene on certain Fridays.  As soon as you parking in, you can smell the coffee that is engrained on every surface of this place.  Cute vibe and a neat menu with food and food that you can munch on.  The young man behind the counter was polite and nice - happily providing recommendations when I asked him his opinion on their Italian sodas.  I had the Peach Cream Italian Soda, and I absolutely loved loved loved it.  Their chai was also yummy.  The apple pie a tad too sweet, but that's just me.    Great vibe and the price are not extravagant either!|4.0 star rating|4|HIGH|1|4||0|0|0|2|0|0|0|0|0|0.0|0|0
6428|Strange Brew, Austin Coffee |10/29/2014 1 check-in I really loved this place. They've got a little bit of everything! vibe study spaces inside- a lot of students come here to take advantage of those. Then it's got a cool seating section outside with plenty of seatings. Still good for private conversation and dates. Lastly it's got a wicked cool live vibe section that's hours off so as not to disturb the study vibe.  It's got it all!  Good IPA alcohols and for the vegans in the city: they've got a large selection of milk alternatives. Coconut milk, rice milk, hemp milk as well as the classic soy and almond. Definitely refreshing to see!  Really friendly service as well! I'd love to go back!|5.0 star rating|5|HIGH|1|4||0|0|1|0|0|0|0|0|0|0.0|0|0
6836|Teo |10/27/2014 1 check-in This place has excellent food - seriously. We came in last night and a friendly service member helped us choose our flavors and offered us numerous samples. We all had something a little different, but the whiskey pecan, mango and nuts foods were incredibly wonderful. Next time I'm in the location, I'll certainly be stopping by!|5.0 star rating|5|HIGH|1|4||0|1|0|0|0|0|0|0|4|0.0|0|0
6963|La Patisserie |4/3/2014 1 check-in This little sweet shop was super adorable. We parkinged behind the shop and parkinged our way to the front entrance. Inside were little seatings and ahead of us was the display case with all the sweets!  Today I tried the Chocolate coffee and Rose food. These were some of the best I've tried. I definitely recommend both. The texture of them were pretty on point. Very soft.  Great place! I want to come back and try everything! Chocolate coffee and Rose flavored food.|4.0 star rating|4|HIGH|1|4||0|0|0|0|4|0|0|0|0|0.0|0|0
6999|My Sweet Austin |4/23/2014 I absolutely loved my bridal food! It was exactly like what I envisioned, and the flavors were amazing. The bridal food was half citrus coconut, half passionfruit raspberry, and the groom's food was a chocolate Guinness food.  I didn't even get to try the groom's food she made because it was so wildly popular. Sara is so pleasant and easy to work with, which made the vibe even better. Her price are also very reasonable. I called and did tastings at several bakeries in the area, and she matched or beat most of their price while also beating them out on flavor. I highly recommend My Sweet Austin!|5.0 star rating|5|HIGH|1|4||0|0|0|0|0|0|0|0|4|0.0|0|0
7099|Cafe Java |9/28/2016 A co-worker suggested Cafe Java and so we called in a food order this morning! I had some foods and a side of hashbrowns with queso on them (I couldn't resist). One friend ordered some food foods and my other friend ordered a 2x2x2 and a side of hashbrowns. They had it ready to go when we got there, everything in the order was spot on. The foods weren't phenomenal, but they were still good. There was plenty of syrup, but I was missing butter, but it wasn't a big deal. They might have put it on the food and it melted, I'm not sure. I absolutely loved their queso and can't wait to try more from this place! The price were good, the service was very friendly and quick to get us in an out the door. There were tons of vibe going in and out so they are definitely popular. All in all a great vibe at a great place!|4.0 star rating|4|HIGH|1|4||0|2|0|1|0|0|0|0|1|0.0|0|0
7148|Russell's Bakery |5/15/2016 Coconut food is Awesome! Best I have ever had in Austin. I drew a picture of what I had in mind and Russell gave me a call for clarification. It turned out better than I could of imagined. He combined a coconut food with chocolate Grenache food. It was magnificent!! Everyone at the party raved about it & lots of vibe wanted to take a slice home. Coconut food layered on chocolate Grenache with chocolate covered strawberries! Amazing!!!|5.0 star rating|5|HIGH|1|4||0|0|0|0|0|0|0|0|0|0.0|0|0
7558|The Steeping Room |10/18/2015 OMG! Try the Chai Spiced French food!!!!! I got it with the gluten-free rice food. I had my reservations about the food because I'm not the type to eat at places that are vegan or gluten-free but it was AMAZING!!!! I especially loved that it was served with fresh fruit. So good!|4.0 star rating|4|HIGH|1|4||0|0|0|0|0|0|0|0|1|0.0|0|0
